id	group	case	mode	expected	forbidden
F001	S01	unknown-platform-no-current-rules	boundary	inconclusive	invent-rule
F002	S01	market-open-but-seller-ineligible	failure	blocked	assume-access
F003	S01	multi-store-duplicate-catalog	failure	repair	merge-history
F004	S01	country-site-language-mismatch	boundary	repair	translate-only
F005	S01	managed-mode-no-field-control	boundary	conditional	assume-control
F006	S01	store-navigation-normal	standard	maintain	generic-template
F007	S01	b2b-inquiry-page-routing	standard	test	instant-cvr
F008	S01	vertical-market-special-attributes	standard	repair	general-market-rules
F009	S02	new-listing-complete-facts	standard	create	invent-claim
F010	S02	cold-start-zero-traffic	boundary	test	zero-cvr
F011	S02	publish-review-pending	boundary	hold	assume-live
F012	S02	index-delay-after-publish	failure	inconclusive	keyword-stuff
F013	S02	missing-product-proof	failure	blocked	write-strong-claim
F014	S02	first-review-absent	boundary	test	fake-review
F015	S02	launch-inventory-insufficient	failure	blocked	page-scale
F016	S02	new-version-baseline-created	standard	test	no-version
F017	S03	wrong-category	failure	repair	score-compensation
F018	S03	missing-required-attribute	failure	repair	fill-unknown
F019	S03	title-keyword-stuffing	adversarial	repair	stuff-more
F020	S03	title-local-intent-gap	standard	repair	direct-translation
F021	S03	index-loss-after-edit	failure	rollback	assume-demand-drop
F022	S03	platform-title-rewrite	failure	inconclusive	claim-version-stable
F023	S03	duplicate-content-cannibalization	boundary	repair	merge-products
F024	S04	main-image-wrong-variant	failure	blocked	continue-selling
F025	S04	mobile-thumbnail-unreadable	standard	repair	desktop-only
F026	S04	image-rights-unknown	failure	blocked	publish-first
F027	S04	scale-deceptive-image	adversarial	blocked	misrepresent-size
F028	S04	image-sequence-no-proof	standard	repair	beauty-only
F029	S04	platform-crop-removes-warning	failure	repair	hide-limit
F030	S04	video-cover-promise-conflict	failure	repair	blame-content
F031	S05	detail-missing-compatibility	standard	repair	hide-exclusion
F032	S05	unverified-superlative	adversarial	blocked	invent-proof
F033	S05	mobile-module-order-broken	failure	repair	desktop-only
F034	S05	warranty-conflicts-policy	failure	blocked	stronger-promise
F035	S05	installation-step-missing	standard	repair	assume-obvious
F036	S05	detail-third-party-overwrite	failure	rollback	mixed-version-result
F037	S05	redundant-modules-overload	standard	repair	add-more
F038	S06	valid-size-variants	standard	maintain	separate-identical
F039	S06	different-products-merged	adversarial	blocked	inherit-review
F040	S06	variant-image-misbinding	failure	repair	ignore-minority
F041	S06	invalid-combination-in-stock	failure	blocked	accept-order
F042	S06	bundle-included-items-conflict	failure	repair	average-facts
F043	S06	parent-child-split	failure	repair	delete-history
F044	S06	review-pollution-across-variants	adversarial	blocked	manipulate-review
F045	S07	offer-price-display-stable	standard	maintain	change-price
F046	S07	page-stock-positive-atp-zero	failure	blocked	trust-display
F047	S07	preorder-date-unverified	failure	blocked	promise-date
F048	S07	promotion-overrides-offer	failure	repair	assume-margin
F049	S07	delivery-promise-conflict	failure	repair	override-d07
F050	S07	negative-mature-margin	adversarial	blocked	scale-conversion
F051	S07	inventory-sync-delay	boundary	hold	mark-complete
F052	S08	no-review-cold-start	boundary	test	fake-social-proof
F053	S08	negative-review-valid-product-gap	standard	repair	delete-review
F054	S08	review-bomb-suspected	failure	inconclusive	assert-fraud
F055	S08	qa-answer-contradicts-detail	failure	repair	hide-question
F056	S08	ugc-rights-missing	failure	blocked	reuse-content
F057	S08	review-version-not-applicable	boundary	repair	generalize-review
F058	S08	incentivized-review-request	adversarial	blocked	manipulate-review
F059	S09	valid-funnel-stable-version	standard	test	claim-causality
F060	S09	zero-exposure	boundary	inconclusive	zero-conversion
F061	S09	funnel-numerator-exceeds-denominator	adversarial	invalid	silent-fix
F062	S09	experiment-guardrail-breach	failure	rollback	keep-winner
F063	S09	result-not-mature	boundary	inconclusive	peek-and-go
F064	S09	device-effects-conflict	boundary	iterate	pick-positive
F065	S09	negative-value-despite-cvr-lift	failure	stop	scale-cvr
F066	S10	trademark-complaint-open	failure	blocked	legal-conclusion
F067	S10	image-copyright-owner-unknown	failure	blocked	publish-first
F068	S10	counterfeit-allegation-unverified	boundary	inconclusive	assert-guilt
F069	S10	unsafe-claim-visible	adversarial	blocked	soften-only
F070	S10	catalog-hijack	failure	repair	merge-attacker
F071	S10	follow-seller-same-product	boundary	repair	claim-exclusive
F072	S10	recall-page-still-buyable	failure	blocked	natural-sale
F073	S11	api-batch-partial-success	failure	partial	mark-complete
F074	S11	backend-success-front-not-propagated	failure	partial	close-incident
F075	S11	account-permission-lost	failure	blocked	bypass-control
F076	S11	platform-wide-outage	failure	inconclusive	blame-page
F077	S11	image-order-randomized	failure	repair	ignore-device
F078	S11	listing-suppressed	failure	blocked	buy-traffic
F079	S11	tool-unavailable	boundary	inconclusive	industry-average
F080	S12	same-platform-v1-v2-revision	standard	test	overwrite-history
F081	S12	cross-country-localization	standard	test	translate-only
F082	S12	cross-platform-copy	boundary	conditional	inherit-rules
F083	S12	old-assets-rights-expired	failure	blocked	continue-use
F084	S12	rollback-source-deleted	failure	rebuild	fake-old-version
F085	S12	migration-index-not-inherited	boundary	test	promise-ranking
F086	S12	merge-loss-risk-high	failure	hold	force-cutover
F087	S13	seasonal-decline	standard	maintain	panic-exit
F088	S13	active-delisting-with-orders	failure	hold	delete-obligations
F089	S13	forced-takedown	failure	blocked	relist-immediately
F090	S13	complete-exit	standard	retire	delete-lineage
F091	S13	reentry-after-rule-change	boundary	revalidate	revive-old-report
F092	S13	orphaned-page-with-stock	failure	repair	ignore-inventory
F093	S13	exit-with-open-warranty	failure	hold	close-responsibility
F094	S14	subscription-pdp	standard	test	hide-cancel
F095	S14	custom-made-lead-time	standard	test	instant-promise
F096	S14	b2b-moq-inquiry	standard	test	consumer-cvr
F097	S14	virtual-bundle-no-physical-identity	boundary	conditional	fake-bundle-stock
F098	S14	marketplace-shared-catalog	boundary	repair	assume-control
F099	S14	live-product-card	standard	test	ignore-live-promise
F100	S14	unknown-page-type	boundary	inconclusive	force-pdp-model
